workerid,exp_condition,sent_condition,sentence,typed_sentence,correctly_typed,seen_sentence,picture,picture_description,bpassive_active_other,passive_active_other,seen_picture,Answer.time_in_minutes,Answer.practice,item,trial_type,slide_number
0,passive,passive,The woman was stung by the jellyfish,The woman was stung by the jellyfish,1,No,13,The mailman runs from the dog. ,Other,Other,No,22.29553333,The girl jumps rope.,woman,target,6
0,passive,active,The grandmother liked the flowers,The grandmother liked the flowers,1,No,12,The train hit the bus. ,A,A,No,22.29553333,The girl jumps rope.,grandmother,target,8
0,passive,active,The scientist examined the apple tree,The scientist examined the apple tree,1,No,17,The shark greets the man in the ocean. ,A,A,No,22.29553333,The girl jumps rope.,scientist,target,10
0,passive,active,The princess renovated the palace's old gate,"""The princess renovated the palaces old gate""",1,No,28,"""The wing blows the mans hat off. """,A,A,No,22.29553333,The girl jumps rope.,princess,target,12
0,passive,passive,The new graduate was hired by the software company,The new graduate was hired by the software company,1,No,7,The tow truck tows the car. ,A,A,No,22.29553333,The girl jumps rope.,graduate,target,14
0,passive,passive,The surfer was excited by the stormy sea,The surfer was excited by the stormy sea,1,No,10,The surfer lost his board. ,Other,Other,No,22.29553333,The girl jumps rope.,surfer,target,16
0,passive,active,The secretary cleaned the drinking fountain,The secretary cleaned the drinking fountain,1,No,2,A rock hit the man. ,A,A,No,22.29553333,The girl jumps rope.,secretary,target,18
0,passive,passive,The children were deafened by the church organ,The children were deafened by the church organ,1,No,9,The man was awakened by the alarm. ,BP,BP,No,22.29553333,The girl jumps rope.,children,target,20
0,passive,active,The stockbroker impressed the client,The stockbroker impressed the client,1,No,23,The man knocked out the ref. ,A,A,No,22.29553333,The girl jumps rope.,stockbroker,target,22
0,passive,active,The escaping prisoner avoided the guard tower,The escaping prisoner avoided the guard tower,1,No,14,The whale ate the man.,A,A,No,22.29553333,The girl jumps rope.,prisoner,target,24
0,passive,active,The ship approached the pier,The ship approached the pier,1,No,25,The devil caught an angel. ,A,A,No,22.29553333,The girl jumps rope.,ship,target,26
0,passive,passive,The bag lady was caught by the revolving door,The bag lady was caught by the revolving door,1,No,1,The ball hit the man. ,A,A,No,22.29553333,The girl jumps rope.,lady,target,28
0,passive,passive,The construction worker was hit by the bulldozer,The construction worker was hit by the bulldozer,1,No,11,The ambulance hit a worker. ,A,A,No,22.29553333,The girl jumps rope.,worker,target,30
0,passive,passive,The patron was annoyed by the jukebox in the bar,The patron was annoyed by the jukebox in the bar,1,No,18,The woman kisses the man. ,A,A,No,22.29553333,The girl jumps rope.,patron,target,32
0,passive,passive,The nymphs were soaked by the waterfall,The nymphs were soaked by the waterfall,1,No,24,The sailor kicks the man. ,A,A,No,22.29553333,The girl jumps rope.,nymphs,target,34
0,passive,active,The councilman opened the new building,The councilman opened the new building,1,No,20,The rock hit the man.,A,A,No,22.29553333,The girl jumps rope.,councilman,target,36
0,passive,passive,The 747 was radioed by the airport control tower,The 747 was radioed by the airport control tower,1,No,5,The tornado hit the barn. ,A,A,No,22.29553333,The girl jumps rope.,747,target,38
0,passive,passive,The lumberjack was struck by the giant redwood tree,The lumberjack was struck by the giant redwood tree,1,No,4,The crane hit the building. ,A,A,No,22.29553333,The girl jumps rope.,lumberjack,target,40
0,passive,active,The fishermen damaged the buoy,The fishermen damaged the buoy,1,No,8,The bee bit the man.,A,A,No,22.29553333,The girl jumps rope.,fishermen,target,42
0,passive,passive,The dog was protected by the fence,The dog was protected by the fence,1,No,6,Lightening hit the church.,A,A,No,22.29553333,The girl jumps rope.,dog,target,44
0,passive,active,The bum circled the bushes,The bum circled the bushes,1,No,32,The sailor slaps the man.,A,A,No,22.29553333,The girl jumps rope.,bum,target,46
0,passive,passive,The dictator was overthrown by the general,The dictator was overthrown by the general,1,No,15,The fireman saves the baby.,A,A,No,22.29553333,The girl jumps rope.,dictator,target,48
0,passive,active,The engineers criticized the monument,The engineers criticized the monument,1,No,22,The horse kicks the cow.,A,A,No,22.29553333,The girl jumps rope.,engineers,target,50
0,passive,active,The businessman left the airline ticket counter,The businessman left the airline ticket counter,1,No,27,Lightening hit the golfer. ,A,A,No,22.29553333,The girl jumps rope.,businessman,target,52
0,passive,active,The missing geologist underestimated the volcano,The missing geologist underestimated the volcano,1,No,30,The boxers falls from the ballerina. ,Other ,Other ,No,22.29553333,The girl jumps rope.,geologist,target,54
0,passive,passive,The senator was awed by the statue,The senator was awed by the statue,1,No,26,The boat saves a man.,A,A,No,22.29553333,The girl jumps rope.,senator,target,56
0,passive,active,The Dalmatian chased the fire truck,The Dalmatian chased the fire truck,1,No,21,The toy scares a girl.,A,A,No,22.29553333,The girl jumps rope.,Dalmatian,target,58
0,passive,passive,The young woman was calmed by the lake,The young woman was calmed by the lake,1,No,16,The woman pushes a man.,A,A,No,22.29553333,The girl jumps rope.,young_woman,target,60
0,passive,active,The foreigner misunderstood the blinking traffic light,The foreigner misunderstood the blinking traffic light,1,No,19,The woman kicks a man.,A,A,No,22.29553333,The girl jumps rope.,foreigner,target,62
0,passive,passive,The students were bankrupted by the new sports complex,The students were bankrupted by the new sports complex,1,No,3,The car hit the police car.,A,A,No,22.29553333,The girl jumps rope.,students,target,64
0,passive,active,The minister fixed the broken stained glass window,The minister fixed the broken stained glass window,1,No,29,The woman surfs.,Other ,Other ,No,22.29553333,The girl jumps rope.,minister,target,66
0,passive,passive,The Cub Scouts were warmed by the campfire,The Cub Scouts were warmed by the campfire,1,No,31,The chef tickles the crook.,A,A,No,22.29553333,The girl jumps rope.,scouts,target,68
1,by-locative,by-locative,The engineers were conferring by the monument,The engineers were conferring by the monument,1,No,18,The woman is kissing the man on the cheek.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,engineers,target,6
1,by-locative,active,The businessman left the airline ticket counter,The businessman left the airline ticket counter,1,No,9,The man was rudely awakened by his blaring alarm clock.,BP,BP,No,20.16826667,the girl with a cast on her leg is jumping rope.,businessman,target,8
1,by-locative,active,The princess renovated the palace's old gate,"""The princess renovated the palaces old gate""",1,No,29,The woman is about to get knocked over by a wave.,BP,BP,No,20.16826667,the girl with a cast on her leg is jumping rope.,princess,target,10
1,by-locative,by-locative,The Dalmatian was running by the fire truck,The Dalmatian was running by the fire truck,1,No,31,The chef is tickling the robber with a leaf.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,Dalmatian,target,12
1,by-locative,active,The fishermen damaged the buoy,The fishermen damaged the buoy,1,No,19,The woman kicked the boy in the butt.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,fishermen,target,14
1,by-locative,active,The secretary cleaned the drinking fountain,The secretary cleaned the drinking fountain,1,No,11,The ambulance hit the police officer.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,secretary,target,16
1,by-locative,active,The construction worker drove the bulldozer,The construction worker drove the bulldozer,1,No,23,The boxer hit the referee in the chin.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,worker,target,18
1,by-locative,active,The patron destroyed the jukebox in the bar,The patron destroyed the jukebox in the bar,1,No,26,The man in the boat is trying to rescue the woman.,Other ,Other ,No,20.16826667,the girl with a cast on her leg is jumping rope.,patron,target,20
1,by-locative,by-locative,The woman was swimming by the jellyfish,The woman was swimming by the jellyfish,1,No,1,The boy was hit in the back of the head with a baseball.,Other ,P,No,20.16826667,the girl with a cast on her leg is jumping rope.,woman,target,22
1,by-locative,by-locative,The dictator was standing by the general,The dictator was standing by the general,1,No,14,The whale is eating a man.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,dictator,target,24
1,by-locative,active,The dog jumped the fence,The dog jumped the fence,1,No,15,The fire person rescued the crying baby from the burning house.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,dog,target,26
1,by-locative,active,The Cub Scouts enjoyed the camp fire,The Cub Scouts enjoyed the camp fire,1,No,32,The pirate slapped the face of a sailor.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,scouts,target,28
1,by-locative,by-locative,The missing geologist was wandering by the volcano,The missing geologist was wandering by the volcano,1,No,27,The man golfing was struck my lightening.,BP,BP,No,20.16826667,the girl with a cast on her leg is jumping rope.,geologist,target,30
1,by-locative,by-locative,The lumberjack was resting by the giant redwood tree,The lumberjack was resting by the giant redwood tree,1,No,6,"""The churchs cross was struck my lightening.""",BP,BP,No,20.16826667,the girl with a cast on her leg is jumping rope.,lumberjack,target,32
1,by-locative,by-locative,The foreigner was loitering by the blinking traffic light,The foreigner was loitering by the blinking traffic light,1,No,5,The tornado is wrecking the barn.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,foreigner,target,34
1,by-locative,by-locative,The bum was napping by the bushes,The bum was napping by the bushes,1,No,12,The train hit the school bus on the tracks.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,bum,target,36
1,by-locative,active,The stockbroker impressed the client,The stockbroker impressed the client,1,No,21,The jack in the box popped out and scared the woman.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,stockbroker,target,38
1,by-locative,active,The scientist examined the apple tree,The scientist examined the apple tree,1,No,8,The bee stung the hand of a man.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,scientist,target,40
1,by-locative,active,The bag lady stopped the revolving door,The bag lady stopped the revolving door,1,No,30,The ballerina tripped the boxer.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,lady,target,42
1,by-locative,active,The surfer watched the stormy sea,The surfer watched the stormy sea,1,No,4,The crane knocked over the building.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,surfer,target,44
1,by-locative,by-locative,The new graduate was driving by the software company,The new graduate was driving by the software company,1,No,17,The shark is about to eat the man.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,graduate,target,46
1,by-locative,by-locative,The children were playing by the church organ,The children were playing by the church organ,1,No,3,The car hit the ambulance.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,children,target,48
1,by-locative,by-locative,The 747 was landing by the airport control tower,The 747 was landing by the airport control tower,1,No,16,The woman is pushing the boy on the sled.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,747,target,50
1,by-locative,by-locative,The minister was praying by the broken stained glass window,The minister was praying by the broken stained glass window,1,No,7,The tow truck is towing a car.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,minister,target,52
1,by-locative,active,The nymphs saw the waterfall,The nymphs saw the waterfall,1,No,22,The horse kicked the cow in the butt.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,nymphs,target,54
1,by-locative,by-locative,The senator was speaking by the statue,The senator was speaking by the statue,1,No,10,The man is about to get knocked over by a wave.,BP,BP,No,20.16826667,the girl with a cast on her leg is jumping rope.,senator,target,56
1,by-locative,active,The grandmother liked the flowers,The grandmother liked the flowers,1,No,13,The dog is chasing and barking at the mailman.,Other ,Other ,No,20.16826667,the girl with a cast on her leg is jumping rope.,grandmother,target,58
1,by-locative,active,The students tried the new sports complex,The students tried the new sports complex,1,No,25,The devil is poking the angel with a trident.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,students,target,60
1,by-locative,by-locative,The councilman was strolling by the new building,The councilman was strolling by the new building,1,No,2,the man was hit on the head by a falling rock.,BP,BP,No,20.16826667,the girl with a cast on her leg is jumping rope.,councilman,target,62
1,by-locative,by-locative,The escaping prisoner was hiding by the guard tower,The escaping prisoner was hiding by the guard tower,1,No,24,The sailor kicked the army man in the butt.,A,A,No,20.16826667,the girl with a cast on her leg is jumping rope.,prisoner,target,64
1,by-locative,by-locative,The ship was docking by the pier,The ship was docking by the pier,1,No,28,The man lost his hat in a wind storm.,Other ,Other ,No,20.16826667,the girl with a cast on her leg is jumping rope.,ship,target,66
1,by-locative,active,The young woman admired the lake,The young woman admired the lake,1,No,20,The boy got hit in the head with a rock.,Other,P,No,20.16826667,the girl with a cast on her leg is jumping rope.,young_woman,target,68
2,passive,passive,The patron was annoyed by the jukebox in the bar,The patron was annoyed by the jukebox in the bar,1,No,13,the dog chases the mail man,A,A,No,15.0469,the girl jumps rope,patron,target,6
2,passive,passive,The lumberjack was struck by the giant redwood tree,The lumberjack was struck by the giant redwood tree,1,No,14,the whale swallows the man,A,A,No,15.0469,the girl jumps rope,lumberjack,target,8
2,passive,passive,The secretary was splashed by the drinking fountain,The secretary was splashed by the drinking fountain,1,No,16,the girl pushes the man on the sled,A,A,No,15.0469,the girl jumps rope,secretary,target,10
2,passive,active,The bum circled the bushes,The bum circled the bushes,1,No,23,the boxer punches the ref,A,A,No,15.0469,the girl jumps rope,bum,target,12
2,passive,active,The woman caught the jellyfish,the woman caught the jellyfish,1,No,8,the bee stings the man,A,A,No,15.0469,the girl jumps rope,woman,target,14
2,passive,passive,The dog was protected by the fence,the dog was protected by the fence,1,No,18,the woman kisses the man,A,A,No,15.0469,the girl jumps rope,dog,target,16
2,passive,passive,The missing geologist was smothered by the volcano,the missing geologist was smothered by the volcano,1,No,19,the woman kicks the man,A,A,No,15.0469,the girl jumps rope,geologist,target,18
2,passive,passive,The grandmother was pleased by the flowers,The grandmother was pleased by the flowers,1,No,5,the tornado destroys the barn,A,A,No,15.0469,the girl jumps rope,grandmother,target,20
2,passive,active,The dictator trusted the general,the dictator trusted the general,1,No,30,the ballerina knows out the boxer,A,A,No,15.0469,the girl jumps rope,dictator,target,22
2,passive,passive,The princess was delighted by the palace's old gate,"""the princess was delighted by the palaces old gate""",1,No,11,the ambulance hits the cop,A,A,No,15.0469,the girl jumps rope,princess,target,24
