workerid,anon_workerid
A1B5SSGMTAQ9B5,0
A1TLNLB9D87H6,1
A2JCK494NV7TFX,2
A22ABLVEI5EGPL,3
A39C1BN9ZSQ0R2,4
A2QNVAMUHLUVMU,5
A34SUZWGLXIWM8,6
AWDHQ8R31A02L,7
A25CAT0W9W97Z8,8
A2FGDZX6Q0AFVM,9
A3FYWUZK52IC2J,10
A248QG4DPULP46,11
A1CMWA0L8FTSXA,12
A222R4PNCF08OF,13
A30UE6DWFNUCWX,14
A16G6PPH1INQL8,15
A1160COTUR26JZ,16
A2DVV59R1CQU6T,17
A272X64FOZFYLB,18
AZNIEFUIVB2H0,19
A15RTRQ5YO6AUS,20
A13E21KFM64RJC,21
A2615YW1YERQBO,22
A3GIIL73GE2CBQ,23
A1F1BIPJR11LSR,24
A1V2H0UF94ATWY,25
A374SYNCQGB9B3,26
A2APG8MSLJ6G2K,27
A1ZRK6K5JUPJAV,28
A8028AFBBS29G,29
A2L8BI5CRPR5WP,30
A1WH32GYQOHIRQ,31
A2MBONFYCEPP8K,32
A3IBAGEKMDEGSI,33
A1XCD78DIGGURQ,34
AJD2Q9O3GMUEX,35
A1LB8HVSXK66U0,36
A1XK8UOBXFUX4G,37
A2V27A9GZA1NR2,38
AFDC9A6Z60W2Z,39
A2T007HZK66WM,40
A1E77HZO63E334,41
A1ZB2NY0F9QNP0,42
A3QC57KUVJP5EW,43
A1ZQ7A1CUV6RD8,44
A2541C8MY0BYV3,45
AKZ8SFOAI4RZN,46
A3180VXVP8MOIH,47
A3MIDLO5S7FU06,48
A2BK9RMC0NOIH8,49
A1AYQ8E01NSY5Z,50
AC6Y70F8YSHJN,51
AWLT46A9EWTK8,52
A1F9KLZGHE9DTA,53
A2S64AUN7JI7ZS,54
A27SMEOPKV84VI,55
A2TKFZQRNAZS1L,56
A122LRCSBAD6DC,57
A23B9UVYZ52CL0,58
A2C84POENS2UNY,59
A9692Y27LBXT9,60
A2GH9GHAPZ9SNH,61
AMIQGW2E3WYO4,62
A2YCMT5BPA0AG9,63
ALDQRWYZ8KQ9A,64
A1ILD5BPLI8X1P,65
A3K9GTQBOI7O5A,66
A3EPYIKGXR7314,67
A2WPKP73S4MBLK,68
A3QSJY1FFN0N6V,69
A2I960JYUZ8KAV,70
A3J37RP5AZDACH,71
A3FQYXSF2OBFQI,72
A3RLCGRXA34GC0,73
AT8S19U5993HR,74
A2XW91EHCZ3T3V,75
A2A6FH0F7LD9ND,76
AVPW7AXI9AFSM,77
A1CUQR0X6P3N3R,78
A2QTV4TFK4VCEF,79
A16TH68KJQZXKC,80
A3G5IPGLH1IIZN,81
A9KOG4O3UY5AX,82
A2GV9WSNSPX53,83
A2FLOH4DM8A4ZS,84
AZ9BZONG644TU,85
A1ZI4VU6650Q8B,86
A2YTO4EY3MNYAJ,87
A1IS0218RVG60K,88
A1BNR1ZAF1QGWG,89
